timestamp,drone_id,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
2.001,0,47.977140,10.516000,47.971370,-0.004192,-0.370102,0.004312,0.928972
2.001,1,52.540160,10.405390,48.355300,-0.005751,-0.371590,0.006244,0.928358
2.001,2,57.377930,10.374000,48.628780,-0.005525,-0.373631,0.011665,0.927487
2.001,3,62.451440,10.374680,48.463670,-0.005815,-0.373410,0.008857,0.927606
35.618,0,21.795330,13.270660,21.142180,0.004295,-0.876138,0.001597,0.482038
35.618,1,6.568293,13.469390,28.786250,-0.005664,-0.999936,-0.000544,0.009771
35.618,2,-7.445981,15.278230,26.471110,0.000701,-0.999715,-0.010233,-0.021543
35.618,3,-20.471690,11.912080,25.412920,0.004759,-0.946764,0.019768,-0.321287
38.626,0,20.682980,13.229510,21.321090,-0.003621,-0.876173,-0.001031,0.481982
38.626,1,7.234626,13.294810,28.685660,-0.005362,-0.999944,-0.002518,0.008734
38.626,2,-5.996766,12.953930,29.844760,0.011788,-0.999511,0.003556,-0.028741
38.626,3,-21.241820,14.601810,17.832770,-0.010784,-0.836126,-0.014492,-0.548240
70.229,0,21.178810,13.212020,21.212240,-0.000318,-0.876242,0.000102,0.481872
70.229,1,7.863363,13.211540,28.996960,0.000321,-0.999972,0.000246,0.007430
70.229,2,-7.718087,13.215690,29.153850,0.000747,-0.999706,0.001428,-0.024193
70.229,3,-21.198270,13.216090,20.944040,-0.001221,-0.874319,-0.001487,-0.485348
71.231,0,20.946610,14.587800,20.683500,0.000224,-0.874335,0.018358,0.484975
71.231,1,8.182634,12.835320,28.697620,-0.011845,-0.999697,0.017728,0.012288
71.231,2,-8.039742,14.585540,28.632150,0.005283,-0.999518,0.015428,-0.026410
71.231,3,-20.695420,12.833270,21.030230,-0.020431,-0.877419,0.007313,-0.479234
72.235,0,19.905420,17.815050,18.736680,-0.000018,-0.867596,0.016916,0.496982
72.235,1,9.273629,11.957910,27.166810,-0.011065,-0.999724,0.016969,0.011873
72.235,2,-8.767580,17.793140,26.701900,0.005431,-0.999495,0.016409,-0.026680
72.235,3,-18.756920,11.947380,21.359830,-0.018319,-0.891334,0.008483,-0.452898
73.239,0,18.319430,21.085050,16.023770,-0.017125,-0.815792,-0.003499,0.578082
73.239,1,10.984670,11.094080,24.635150,-0.009429,-0.999797,0.014354,0.010556
73.239,2,-9.760144,21.017580,23.763200,0.003491,-0.999585,0.012331,-0.025815
73.239,3,-15.653470,11.085220,21.647890,-0.011086,-0.935560,0.006263,-0.352939
74.742,0,18.160010,24.072740,11.857080,-0.020258,-0.718513,-0.002205,0.695215
74.742,1,14.029320,10.788540,20.528020,-0.004626,-0.974565,-0.012709,0.223697
74.742,2,-10.934320,24.389080,20.587960,-0.000449,-0.999509,-0.017607,-0.025915
