timestamp,drone_name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0.020,Drone 0,30.000000,0.019598,30.000000,0.000000,0.979885,0.000000
0.040,Drone 0,30.000000,0.044731,30.000000,0.000000,1.256642,0.000000
0.060,Drone 0,30.000010,0.074798,30.000000,0.000000,1.503357,0.000000
0.080,Drone 0,30.000020,0.109272,30.000010,-0.000106,1.723722,-0.000054
0.100,Drone 0,30.000030,0.147692,30.000020,-0.000471,1.920961,-0.000244
0.120,Drone 0,30.000050,0.189650,30.000020,-0.001268,2.097895,-0.000656
0.140,Drone 0,30.000040,0.234789,30.000020,-0.002664,2.256990,-0.001379
0.160,Drone 0,30.000010,0.282797,30.000010,-0.004819,2.400402,-0.002493
0.180,Drone 0,29.999930,0.333399,29.999960,-0.007876,2.530020,-0.004068
0.200,Drone 0,29.999780,0.386352,29.999880,-0.011960,2.647497,-0.006169
0.220,Drone 0,29.999540,0.441441,29.999750,-0.017185,2.754277,-0.008849
0.240,Drone 0,29.999170,0.498476,29.999570,-0.023647,2.851627,-0.012153
0.260,Drone 0,29.998660,0.557292,29.999310,-0.031428,2.940653,-0.016119
0.280,Drone 0,29.997980,0.617742,29.998950,-0.040600,3.022324,-0.020778
0.300,Drone 0,29.997090,0.679699,29.998500,-0.051222,3.097484,-0.026155
0.320,Drone 0,29.995970,0.743045,29.997930,-0.063344,3.166871,-0.032268
0.340,Drone 0,29.994580,0.807680,29.997210,-0.077003,3.231129,-0.039131
0.360,Drone 0,29.992880,0.873509,29.996350,-0.092230,3.290817,-0.046750
0.380,Drone 0,29.990850,0.940450,29.995320,-0.109043,3.346419,-0.055130
0.400,Drone 0,29.988460,1.008431,29.994110,-0.127453,3.398355,-0.064266
0.420,Drone 0,29.985670,1.077384,29.992700,-0.147460,3.446987,-0.074151
0.440,Drone 0,29.982440,1.147253,29.991080,-0.169056,3.492627,-0.084773
0.460,Drone 0,29.978760,1.217982,29.989230,-0.192222,3.535540,-0.096114
0.480,Drone 0,29.974570,1.289522,29.987130,-0.216932,3.575955,-0.108152
0.500,Drone 0,29.969860,1.361826,29.984790,-0.243147,3.614063,-0.120859
