capture_time,drone_id,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
20251229_145816,Drone 0,26.997730,8.264262,42.897770,-0.007650,0.808747,-0.000700,0.588106
20251229_145816,Drone 1,35.231380,8.244711,41.384500,-0.006595,0.757455,0.000904,0.652854
20251229_145816,Drone 2,47.728200,8.207731,34.215630,-0.002585,-0.373498,0.007448,0.927597
20251229_145816,Drone 3,58.697730,8.158051,36.214290,-0.000002,-0.667839,0.006514,0.744277
20251229_145842,Drone 0,45.936090,9.949057,48.955790,-0.005078,0.552367,0.010875,0.833515
20251229_145842,Drone 1,51.918430,9.930481,48.354530,-0.004073,0.363627,0.008965,0.931492
20251229_145842,Drone 2,58.680290,9.910713,47.590180,-0.004557,-0.358704,0.007990,0.933406
20251229_145842,Drone 3,64.727380,9.897951,47.839390,-0.006153,-0.549764,0.002390,0.835294
20251229_145842,Drone 0,45.936090,9.949057,48.955790,-0.005078,0.552367,0.010875,0.833515
20251229_145842,Drone 1,51.918430,9.930481,48.354530,-0.004073,0.363627,0.008965,0.931492
20251229_145842,Drone 2,58.680290,9.910713,47.590180,-0.004557,-0.358704,0.007990,0.933406
20251229_145842,Drone 3,64.727380,9.897951,47.839390,-0.006153,-0.549764,0.002390,0.835294
20251229_145843,Drone 0,43.462980,10.904880,48.801650,-0.006415,0.670412,0.007204,0.741926
20251229_145843,Drone 1,49.892950,10.880500,47.733600,-0.010198,0.367107,0.003791,0.930115
20251229_145843,Drone 2,57.863150,10.845670,46.057320,-0.008021,-0.495711,0.004930,0.868436
20251229_145843,Drone 3,64.744560,10.824000,46.522020,-0.003607,-0.634822,0.005136,0.772633
20251229_145846,Drone 0,35.944030,8.031316,47.714940,-0.008152,0.771405,-0.000002,0.636292
20251229_145846,Drone 1,43.422010,7.986403,44.998430,-0.003478,0.696033,0.005921,0.717977
20251229_145846,Drone 2,54.462770,7.942695,41.039990,-0.000316,-0.274084,0.008305,0.961670
20251229_145846,Drone 3,63.565330,7.911139,42.119430,0.000175,-0.666718,0.006834,0.745278
20251229_145846,Drone 0,35.944030,8.031316,47.714940,-0.008152,0.771405,-0.000002,0.636292
20251229_145846,Drone 1,43.422010,7.986403,44.998430,-0.003478,0.696033,0.005921,0.717977
20251229_145846,Drone 2,54.462770,7.942695,41.039990,-0.000316,-0.274084,0.008305,0.961670
20251229_145846,Drone 3,63.565330,7.911139,42.119430,0.000175,-0.666718,0.006834,0.745278
20251229_145849,Drone 0,29.131910,7.637057,44.353960,-0.007566,0.797801,-0.001016,0.602873
20251229_145849,Drone 1,37.099970,7.610073,42.685160,-0.006908,0.719846,-0.001003,0.694098
20251229_145849,Drone 2,49.393030,7.579317,36.093360,-0.002886,-0.379987,0.007027,0.924961
20251229_145849,Drone 3,60.127220,7.531384,37.686410,0.000168,-0.661573,0.006436,0.749853
20251229_145851,Drone 0,24.997920,8.833462,41.430390,-0.007781,0.812810,-0.001366,0.582475
20251229_145851,Drone 1,33.444730,8.813300,40.138590,-0.006738,0.775574,-0.000544,0.631221
20251229_145851,Drone 2,46.045750,8.770138,32.443430,-0.002629,-0.363531,0.007650,0.931547
20251229_145851,Drone 3,57.272130,8.716925,34.803060,0.000220,-0.672030,0.006642,0.740494
20251229_145852,Drone 0,23.020640,9.229047,39.848330,-0.007862,0.813780,-0.001623,0.581118
20251229_145852,Drone 1,31.681750,9.202073,38.808150,-0.006758,0.786896,-0.001002,0.617048
20251229_145852,Drone 2,44.256580,9.154172,30.663950,-0.002756,-0.351748,0.007723,0.936059
20251229_145852,Drone 3,55.770340,9.093561,33.374980,0.000336,-0.675449,0.006716,0.737376
20251229_145855,Drone 0,17.397410,9.371713,34.675440,-0.007784,0.808588,-0.001697,0.588321
20251229_145855,Drone 1,26.744410,9.313586,34.482090,-0.006471,0.806905,-0.001127,0.590645
20251229_145855,Drone 2,38.608090,9.266987,25.417450,-0.003171,-0.310961,0.007425,0.950388
20251229_145855,Drone 3,51.055790,9.169570,29.160220,0.000431,-0.686510,0.006611,0.727090
20251229_145855,Drone 0,17.397410,9.371713,34.675440,-0.007784,0.808588,-0.001697,0.588321
20251229_145855,Drone 1,26.744410,9.313586,34.482090,-0.006471,0.806905,-0.001127,0.590645
20251229_145855,Drone 2,38.608090,9.266987,25.417450,-0.003171,-0.310961,0.007425,0.950388
20251229_145855,Drone 3,51.055790,9.169570,29.160220,0.000431,-0.686510,0.006611,0.727090
20251229_145858,Drone 0,12.005630,9.520224,29.074900,-0.007767,0.797209,-0.001622,0.603652
20251229_145858,Drone 1,22.054670,9.445859,29.970570,-0.006258,0.824295,-0.000923,0.566126
20251229_145858,Drone 2,32.755670,9.401201,20.154530,-0.003652,-0.264220,0.007087,0.964430
20251229_145858,Drone 3,46.148160,9.272964,24.968780,0.000549,-0.699691,0.006534,0.714415
20251229_145900,Drone 0,8.569173,10.090320,26.567510,0.000062,0.793268,0.009345,0.608801
20251229_145900,Drone 1,18.986430,9.811899,27.054280,-0.006184,0.833302,-0.001357,0.552781
20251229_145900,Drone 2,28.879810,9.764202,16.639650,-0.003785,-0.226288,0.007117,0.974027
20251229_145900,Drone 3,42.859450,9.617332,22.207270,0.000673,-0.708440,0.006578,0.705740
20251229_145901,Drone 0,6.850128,10.277680,26.626160,-0.000221,0.806633,0.008568,0.590990
20251229_145901,Drone 1,17.503390,10.009680,25.624080,0.003956,0.823375,0.001995,0.567481
20251229_145901,Drone 2,26.927960,9.940479,14.887640,-0.003681,-0.197631,0.007276,0.980243
20251229_145901,Drone 3,41.205590,9.783307,20.830790,0.000745,-0.712666,0.006581,0.701472
20251229_145902,Drone 0,5.142075,10.363760,27.240480,-0.000122,0.828619,0.007702,0.559760
20251229_145902,Drone 1,16.500210,10.307570,24.786980,0.006150,0.804868,0.003350,0.593412
20251229_145902,Drone 2,24.939970,10.088680,13.162470,-0.003808,-0.165687,0.007171,0.986145
20251229_145902,Drone 3,39.545560,9.920729,19.459090,0.000856,-0.715632,0.006547,0.698447
20251229_145904,Drone 0,1.974935,10.436740,29.404020,-0.003978,0.869106,0.000334,0.494610
20251229_145904,Drone 1,15.736350,10.506370,25.093690,0.003653,0.818749,0.003703,0.574128
20251229_145904,Drone 2,22.481330,10.521050,9.725814,-0.006710,-0.121217,-0.005471,0.992588
20251229_145904,Drone 3,36.196530,10.123200,16.765770,0.001198,-0.706972,0.006298,0.707213
20251229_145906,Drone 0,-0.874027,10.744930,29.732490,-0.007973,0.883750,-0.006626,0.467844
20251229_145906,Drone 1,15.699610,10.508340,26.736780,0.003825,0.952852,0.002274,0.303404
20251229_145906,Drone 2,22.894640,10.636960,6.165245,-0.005542,-0.159859,-0.003870,0.987117
20251229_145906,Drone 3,32.799960,10.305860,14.235310,0.001416,-0.676260,0.006021,0.736637
20251229_145907,Drone 0,-2.242846,10.861230,28.661600,-0.005977,0.878352,-0.004149,0.477959
20251229_145907,Drone 1,15.990950,10.563220,27.696350,0.002726,0.993871,0.002025,0.110494
20251229_145907,Drone 2,23.612960,10.659180,4.436470,-0.004982,-0.198836,-0.003322,0.980015
20251229_145907,Drone 3,31.079900,10.407890,13.062900,0.001686,-0.650395,0.006001,0.759571
20251229_145907,Drone 0,-2.242846,10.861230,28.661600,-0.005977,0.878352,-0.004149,0.477959
20251229_145907,Drone 1,15.990950,10.563220,27.696350,0.002726,0.993871,0.002025,0.110494
20251229_145907,Drone 2,23.612960,10.659180,4.436470,-0.004982,-0.198836,-0.003322,0.980015
20251229_145907,Drone 3,31.079900,10.407890,13.062900,0.001686,-0.650395,0.006001,0.759571
20251229_145909,Drone 0,-4.774195,11.150830,27.116910,-0.000455,0.855703,0.005722,0.517435
20251229_145909,Drone 1,16.106750,10.922660,28.292900,-0.006457,0.989834,-0.008412,-0.141835
20251229_145909,Drone 2,25.495750,10.803180,1.252379,-0.003060,-0.282784,0.003960,0.959171
20251229_145909,Drone 3,27.507070,10.629360,10.994950,0.002343,-0.567665,0.006289,0.823232
20251229_145909,Drone 0,-4.774195,11.150830,27.116910,-0.000455,0.855703,0.005722,0.517435
20251229_145909,Drone 1,16.106750,10.922660,28.292900,-0.006457,0.989834,-0.008412,-0.141835
20251229_145909,Drone 2,25.495750,10.803180,1.252379,-0.003060,-0.282784,0.003960,0.959171
