filename,drones,interval,convergence_time,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
swarm_raw_1_drones_1_interval_61.81s.ply,1,1,61.81,773149,76.996,77.94123733741709,0.008076643084822303,0.003342917493079148,0.1,0.004559720750500425
swarm_raw_1_drones_2_interval_61.81s.ply,1,2,61.81,777727,76.428,77.84643212817464,0.00813622739821916,0.0033438345909746156,0.1,0.004559720750500425
swarm_raw_1_drones_3_interval_61.81s.ply,1,3,61.81,788562,76.158,77.70748971799189,0.008201801609622989,0.003346738652956647,0.1,0.004559720750500425
swarm_raw_1_drones_4_interval_61.81s.ply,1,4,61.81,769402,74.252,77.72173056352362,0.009872830313930487,0.003339863364223423,0.1,0.004559720750500425
swarm_raw_1_drones_5_interval_61.81s.ply,1,5,61.81,773686,77.16199999999999,77.84773150864821,0.007943704801970286,0.0033440095745399735,0.1,0.004559720750500425
swarm_raw_2_drones_1_interval_62.79s.ply,2,1,62.79,676309,76.063,77.80797891769828,0.008498304963267433,0.0033476899264007075,0.1,0.004559720750500425
swarm_raw_2_drones_2_interval_62.79s.ply,2,2,62.79,639094,74.855,77.73340177531833,0.009032245808854186,0.003345445265985641,0.1,0.004559720750500425
swarm_raw_2_drones_3_interval_62.79s.ply,2,3,62.79,653547,75.375,77.97563576990937,0.008573490448274327,0.00333451894589893,0.1,0.004559720750500425
swarm_raw_2_drones_4_interval_62.79s.ply,2,4,62.79,626410,74.598,77.98310040899501,0.010112133981832317,0.003333825664720006,0.1,0.004559720750500425
swarm_raw_2_drones_5_interval_62.79s.ply,2,5,62.79,523164,69.188,78.00469120084419,0.01189696664969717,0.003328074935580466,0.1,0.004559720750500425
swarm_raw_3_drones_1_interval_75.98s.ply,3,1,75.98,770243,82.18299999999999,77.59197585065647,0.006378778451394882,0.003359009868277467,0.1,0.004559720750500425
swarm_raw_3_drones_2_interval_75.98s.ply,3,2,75.98,762931,81.337,77.77846232900056,0.006463921275555255,0.0033519917528518285,0.1,0.004559720750500425
swarm_raw_3_drones_3_interval_75.98s.ply,3,3,75.98,760186,81.37,77.72269933484887,0.006540709727937282,0.0033501720618943926,0.1,0.004559720750500425
swarm_raw_3_drones_4_interval_75.98s.ply,3,4,75.98,749072,80.658,77.61706150001068,0.006563173340405754,0.003353869441617901,0.1,0.004559720750500425
swarm_raw_3_drones_5_interval_75.98s.ply,3,5,75.98,744449,81.014,77.74622573205149,0.006595549296029762,0.0033458392895700678,0.1,0.004559720750500425
swarm_raw_4_drones_1_interval_80.54s.ply,4,1,80.54,773570,82.21300000000001,77.81067001047093,0.006425171780100555,0.0033620947538230968,0.1,0.004559720750500425
swarm_raw_4_drones_2_interval_80.54s.ply,4,2,80.54,770501,82.321,77.7082703331988,0.006443098192756853,0.003360775113015202,0.1,0.004559720750500425
swarm_raw_4_drones_3_interval_80.54s.ply,4,3,80.54,749974,81.889,77.65696134674316,0.006433171806754008,0.0033637141673251024,0.1,0.004559720750500425
swarm_raw_4_drones_4_interval_80.54s.ply,4,4,80.54,777798,81.697,77.59784925775736,0.0064977745052956885,0.0033561895806572257,0.1,0.004559720750500425
swarm_raw_4_drones_5_interval_80.54s.ply,4,5,80.54,745750,81.799,77.80978628953845,0.006521466147114612,0.0033436943453343413,0.1,0.004559720750500425
swarm_raw_5_drones_1_interval_91.06s.ply,5,1,91.06,805451,82.294,77.5710750871251,0.00647296959252296,0.0033644099413692734,0.1,0.004559720750500425
swarm_raw_5_drones_2_interval_91.06s.ply,5,2,91.06,803895,82.32199999999999,77.79365938310538,0.006534068937413264,0.0033520561131713095,0.1,0.004559720750500425
swarm_raw_5_drones_3_interval_91.06s.ply,5,3,91.06,771000,82.177,77.92158434540556,0.006469565679371291,0.0033468923315447745,0.1,0.004559720750500425
swarm_raw_5_drones_4_interval_91.06s.ply,5,4,91.06,803317,82.22,77.55718386726521,0.0064456328769861605,0.003366853038469941,0.1,0.004559720750500425
swarm_raw_5_drones_5_interval_91.06s.ply,5,5,91.06,775656,81.853,77.75140440369343,0.006571252166605196,0.003350122779412478,0.1,0.004559720750500425
